ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
1	対象文	ホームズは椅子から立った			〇	×	〇
1	Who	ホームズ	True		〇	×	〇
1	hasPredicate	立った	False		〇	×	〇
1	Obj	椅子	True	From	〇	×	〇
2	対象文	ホームズは窓掛けの合わせ目の間に立った			×	×	×
2	Who	ホームズ	False		×	×	×
2	hasPredicate	立った	False		×	×	×
2	Obj	窓掛けの合わせ目の間	False	判別不能	×	×	×
4	対象文	サザランドが向かいの舗道で襟巻きを巻いている			〇	〇	〇
4	Who	サザランド	True		〇	〇	〇
4	hasPredicate	巻いている	True	hasPredicate	〇	〇	〇
4	Obj	向かいの舗道	True	Where	〇	〇	〇
4	Obj	襟巻き	True	What	〇	〇	〇
5	対象文	サザランドが帽子をかぶっている			〇	〇	〇
5	Who	サザランド	True		〇	〇	〇
5	hasPredicate	かぶっている	True	hasPredicate	〇	〇	〇
5	Obj	帽子	True	What	〇	〇	〇
6	対象文	サザランドが赤い羽根をつけている			〇	〇	〇
6	Who	サザランド	True		〇	〇	〇
6	hasPredicate	つけている	True	hasPredicate	〇	〇	〇
6	Obj	赤い羽根	True	What	〇	〇	〇
7	対象文	サザランドが立っている			〇	〇	無
7	Who	サザランド	True		〇	〇	無
7	hasPredicate	立っている	True	hasPredicate	〇	〇	無
8	対象文	サザランドの視線が窓へ向けられている			×	〇	〇
8	Who	サザランドの視線	False		×	〇	〇
8	hasPredicate	向けられている	True	hasPredicate	×	〇	〇
8	Obj	窓	True	To	×	〇	〇
10	対象文	サザランドが前後に動く			〇	〇	×
10	Who	サザランド	True		〇	〇	×
10	hasPredicate	動く	True	hasPredicate	〇	〇	×
10	Obj	前後	False	判別不能	〇	〇	×
11	対象文	サザランドは手袋の釦をいじっている			〇	〇	〇
11	Who	サザランド	True		〇	〇	〇
11	hasPredicate	いじっている	True	hasPredicate	〇	〇	〇
11	Obj	手袋の釦	True	What	〇	〇	〇
12	対象文	サザランドは道を飛び出す			〇	〇	〇
12	Who	サザランド	True		〇	〇	〇
12	hasPredicate	飛び出す	True	hasPredicate	〇	〇	〇
12	Obj	道	True	From	〇	〇	〇
13	対象文	サザランドは道を渡る			〇	〇	〇
13	Who	サザランド	True		〇	〇	〇
13	hasPredicate	渡る	True	hasPredicate	〇	〇	〇
13	Obj	道	True	What	〇	〇	〇
14	対象文	ホームズは呼び鈴を聞く			〇	〇	〇
14	Who	ホームズ	True		〇	〇	〇
14	hasPredicate	聞く	True	hasPredicate	〇	〇	〇
14	Obj	呼び鈴	True	What	〇	〇	〇
15	対象文	ホームズは以下を言った			〇	×	×
15	Who	ホームズ	True		〇	×	×
15	hasPredicate	言った	False		〇	×	×
15	Obj	以下	False	判別不能	〇	×	×
16	対象文	今の素振りは以前にもあった			×	×	×
16	Who	今の素振り	False		×	×	×
16	hasPredicate	あった	False		×	×	×
16	Obj	以前に	False	判別不能	×	×	×
17	対象文	女性が舗道でそわそわする			〇	〇	〇
17	Who	女性	True		〇	〇	〇
17	hasPredicate	そわそわする	True	hasPredicate	〇	〇	〇
17	Obj	舗道	True	Where	〇	〇	〇
18	対象文	上記は色恋沙汰である			×	×	無
18	Who	上記	False		×	×	無
18	hasPredicate	色恋沙汰である	False		×	×	無
19	対象文	サザランドは助言を欲しい			〇	〇	〇
19	Who	サザランド	True		〇	〇	〇
19	hasPredicate	欲しい	True	hasPredicate	〇	〇	〇
19	Obj	助言	True	What	〇	〇	〇
20	対象文	サザランドは以下を悩んでいる			〇	〇	×
20	Who	サザランド	True		〇	〇	×
20	hasPredicate	悩んでいる	True	hasPredicate	〇	〇	×
20	Obj	以下	False	判別不能	〇	〇	×
21	対象文	サザランドは人に相談したい			〇	〇	〇
21	Who	サザランド	True		〇	〇	〇
21	hasPredicate	相談したい	True	hasPredicate	〇	〇	〇
21	Obj	人	True	Whom	〇	〇	〇
22	対象文	ホームズは以下をわかった			〇	×	×
22	Who	ホームズ	True		〇	×	×
22	hasPredicate	わかった	False		〇	×	×
22	Obj	以下	False	判別不能	〇	×	×
23	対象文	女性は男からひどい目に遭う			〇	〇	△
